"PRODUCERSOURCECD","ytd_pretax_income","ytd_tax","income_year"
"AG004288",50917856.00,0.00,2016
"AG004290",41945402.00,0.00,2016
"AG004296",15863187.00,0.00,2016
"AG004310",10141725.00,0.00,2016
"AG004314",8467555.00,0.00,2016
"AG004321",20967283.00,0.00,2016
"AG004326",320885305.00,16130715.00,2016
"AG004332",1977200.00,0.00,2016
"AG004349",6438349.00,0.00,2016
"AG004353",4699557.00,234977.00,2016
"AG004354",9496300.00,474813.00,2016
"AG004357",63770083.00,0.00,2016
"AG004360",2441025.00,122051.00,2016
"AG004365",57216449.00,0.00,2016
"AG004373",492237.00,24611.00,2016
"AG004378",10815680.00,540783.00,2016
"AG004384",31912900.00,1595644.00,2016
"AG004388",319902984.00,15995143.00,2016
"AG004390",5133036.00,256650.00,2016
"AG004392",286437505.00,14321870.00,2016
"AG004393",13621937.00,0.00,2016
"AG004400",431308934.00,21637333.00,2016
"AG004402",11997614.00,599880.00,2016
"AG004403",291834417.00,14591716.00,2016
"AG004411",5359230.00,267961.00,2016
"AG004412",2872691146.00,143634553.00,2016
"AG004413",2090267237.00,104513357.00,2016
"AG004414",1147847995.00,57392395.00,2016
"AG004415",1585874839.00,79293737.00,2016
"AG004416",2146214562.00,107310724.00,2016
"AG004420",39271803.00,0.00,2016
"AG004421",983227397.00,49161364.00,2016
"AG004436",27647964.00,0.00,2016
"AG004439",13076877.00,653843.00,2016
"AG004440",686202.00,34310.00,2016
"AG004451",9661660.00,0.00,2016
"AG004460",243113068.00,12155649.00,2016
"AG004462",26540486.00,0.00,2016
"AG004464",33043483.00,0.00,2016
"AG004466",22472573.00,0.00,2016
"AG004470",3640950.00,0.00,2016
"AG004483",6093475.00,0.00,2016
"AG004489",3945825.00,0.00,2016
"AG004493",109909965.00,5495495.00,2016
"AG004496",789886373.00,39494315.00,2016
"AG004502",4032300.00,0.00,2016
"AG004504",20574105.00,0.00,2016
"AG004516",627513104.00,31375653.00,2016
"AG004520",5891200.00,294558.00,2016
"AG004543",33850536.00,0.00,2016
"AG004544",55722480.00,0.00,2016
"AG004548",62341150.00,0.00,2016
"AG004551",1583395.00,79169.00,2016
"AG004556",31545505.00,0.00,2016
"AG004559",39203582.00,0.00,2016
"AG004560",8331733.00,416586.00,2016
"AG004561",86232021.00,0.00,2016
"AG004570",9385448.00,469272.00,2016
"AG004582",39049938.00,0.00,2016
"AG004584",22402745.00,0.00,2016
"AG004585",39537099.00,0.00,2016
"AG004606",4299400.00,214969.00,2016
"AG004607",1336725.00,66836.00,2016
"AG004609",6016225.00,0.00,2016
"AG004611",1869625.00,0.00,2016
"AG004618",1749699457.00,87484967.00,2016
"AG004624",5194220.00,259710.00,2016
"AG004626",66824824.00,0.00,2016
"AG004634",4590555.00,229526.00,2016
"AG004638",3986050.00,199302.00,2016
"AG004639",28107789.00,1405385.00,2016
"AG004640",25279299.00,0.00,2016
